Tree ID,ID,LitterType,Harvest,LitterHarvest,Rebar,Days,Ln.P.AFDM.mg
8308,8308,Leaf,0,x,x,0,4.61512052
8350,8350,Leaf,0,x,x,0,4.61512052
8360,8360,Leaf,0,x,x,0,4.61512052
8363,8363,Leaf,0,x,x,0,4.61512052
8364,8364,Leaf,0,x,x,0,4.61512052
8372,8372,Leaf,0,x,x,0,4.61512052
8383,8383,Leaf,0,x,x,0,4.61512052
,F1,Catkin,0,x,x,0,4.61512052
,74,Catkin,2,C2,3,22,4.20661614
8363,87,Leaf,1,L1,5,7,4.24877806
8383,109,Leaf,1,L1,2,7,4.09784676
,120,Catkin,2,C2,4,22,4.262939
,125,Catkin,2,C2,1,22,4.13262413
,151,Catkin,1,C1,2,7,4.44368249
8364,157,Leaf,2,L2,2,22,4.12072193
8383,175,Leaf,1,L1,1,7,4.19381577
8360,177,Leaf,2,L2,4,22,4.06380631
8372,198,Leaf,3,L3,2,37,4.12849314
,244,Catkin,3,C3,2,37,4.12748594
,250,Catkin,3,C3,5,37,3.99395869
,262,Catkin,2,C2,2,22,4.32108829
,269,Catkin,2,C2,5,22,4.18081121
8308,283,Leaf,3,L3,5,37,4.08722092
,297,Catkin,1,C1,5,7,4.37890427
,311,Catkin,1,C1,1,7,4.51887782
8350,316,Leaf,3,L3,1,37,4.12101246
,346,Catkin,1,C1,4,7,4.42622173
,370,Catkin,3,C3,4,37,4.1422788
,374,Catkin,1,C1,3,7,4.30923549
8372,383,Leaf,2,L2,3,22,4.13765945
8372,384,Leaf,1,L1,4,7,4.19857995
8383,389,Leaf,2,L2,1,22,4.17586464
8308,396,Leaf,1,L1,3,7,4.19457142
,406,Catkin,3,C3,1,37,4.12308102
8363,454,Leaf,3,L3,3,37,4.18395672
8383,460,Leaf,3,L3,4,37,4.14115817
,477,Catkin,3,C3,3,37,4.17338061
8363,478,Leaf,2,L2,5,22,4.17413493
